               set1           set2
lambda (um)  n      k         n       k
4.000d-1     1.809  9.994d-2  1.775  8.952d-2
5.000d-1     1.840  7.712d-2  1.814  7.144d-2
6.250d-1     1.846  6.356d-2  1.827  5.896d-2
7.692d-1     1.850  5.731d-2  1.827  4.337d-2
1.000d0      1.846  5.462d-2  1.807  4.691d-2
1.205d0      1.848  6.357d-2  1.806  6.985d-2
1.429d0      1.858  7.289d-2  1.820  9.118d-2
1.667d0      1.869  7.223d-2  1.837  9.545d-2
2.000d0      1.880  7.333d-2  1.854  1.035d-1
2.500d0      1.888  6.402d-2  1.873  9.472d-2
3.125d0      1.888  5.752d-2  1.879  8.846d-2
3.704d0      1.880  5.336d-2  1.874  8.315d-2
4.545d0      1.865  5.050d-2  1.861  7.828d-2
5.556d0      1.833  5.251d-2  1.827  7.764d-2
6.667d0      1.778  5.883d-2  1.766  8.516d-2
7.500d0      1.709  7.069d-2  1.693  9.513d-2
7.900d0      1.659  8.381d-2  1.640  1.052d-1
8.300d0      1.593  1.098d-1  1.561  1.253d-1
8.600d0      1.523  1.414d-1  1.477  1.597d-1
8.800d0      1.475  2.022d-1  1.422  2.272d-1
9.000d0      1.452  2.633d-1  1.394  2.947d-1
9.200d0      1.418  3.360d-1  1.355  3.746d-1
9.400d0      1.404  4.310d-1  1.335  4.782d-1
9.600d0      1.432  5.175d-1  1.363  5.732d-1
9.800d0      1.442  6.029d-1  1.370  6.658d-1
1.000d1      1.514  7.123d-1  1.439  7.867d-1
1.020d1      1.601  7.670d-1  1.528  8.514d-1
1.040d1      1.686  8.012d-1  1.616  8.961d-1
1.060d1      1.780  8.197d-1  1.715  9.257d-1
1.080d1      1.853  8.002d-1  1.796  9.120d-1
1.100d1      1.912  7.942d-1  1.860  9.102d-1
1.120d1      1.966  7.887d-1  1.922  9.131d-1
1.140d1      2.030  7.826d-1  1.995  9.147d-1
1.160d1      2.105  7.684d-1  2.080  9.073d-1
1.180d1      2.183  7.006d-1  2.179  8.399d-1
1.200d1      2.208  6.132d-1  2.219  7.397d-1
1.220d1      2.200  5.699d-1  2.215  6.872d-1
1.240d1      2.214  5.175d-1  2.235  6.251d-1
1.260d1      2.202  4.679d-1  2.224  5.637d-1
1.280d1      2.183  4.267d-1  2.203  5.119d-1
1.300d1      2.156  3.977d-1  2.171  4.744d-1
1.340d1      2.100  3.747d-1  2.102  4.411d-1
1.380d1      2.068  3.705d-1  2.058  4.317d-1
1.450d1      2.033  3.662d-1  2.006  4.202d-1
1.550d1      1.930  3.775d-1  1.834  4.500d-1
1.650d1      1.886  5.010d-1  1.730  6.210d-1
1.750d1      1.911  6.252d-1  1.734  8.509d-1
1.850d1      2.000  7.108d-1  1.874  1.054d0
1.950d1      2.079  7.357d-1  2.082  1.140d0
2.050d1      2.154  7.670d-1  2.255  1.126d0
2.150d1      2.238  7.659d-1  2.363  1.082d0
2.300d1      2.336  7.343d-1  2.478  1.040d0
2.700d1      2.415  6.366d-1  2.685  8.976d-1
3.000d1      2.452  6.580d-1  2.743  8.418d-1
3.600d1      2.632  6.216d-1  2.926  7.346d-1
5.200d1      2.756  4.471d-1  3.020  4.381d-1
1.000d2      2.870  2.424d-1  3.058  2.309d-1
2.400d2      2.900  1.020d-1  3.073  9.613d-2
5.500d2      2.905  4.462d-2  3.076  4.195d-2
1.000d3      2.906  2.455d-2  3.077  2.308d-2
2.400d3      2.906  1.024d-2  3.077  9.618d-3
5.500d3      2.906  4.475d-3  3.077  4.200d-3
1.000d4      2.907  2.392d-3  3.077  2.290d-3
